trace,algorithm,frames,events,disk_reads,disk_writes,page_fault_rate
swim.trace,rand,2,,,,
swim.trace,rand,4,,,,
swim.trace,rand,6,,,,
swim.trace,rand,8,,,,
swim.trace,rand,12,,,,
swim.trace,rand,16,,,,
swim.trace,rand,24,,,,
swim.trace,rand,32,,,,
swim.trace,rand,48,,,,
swim.trace,rand,64,,,,
swim.trace,rand,96,,,,
swim.trace,rand,128,,,,
swim.trace,rand,192,,,,
swim.trace,rand,256,,,,
swim.trace,rand,384,,,,
swim.trace,rand,512,,,,
swim.trace,lru,2,,,,
swim.trace,lru,4,,,,
swim.trace,lru,6,,,,
swim.trace,lru,8,,,,
swim.trace,lru,12,,,,
swim.trace,lru,16,,,,
swim.trace,lru,24,,,,
swim.trace,lru,32,,,,
swim.trace,lru,48,,,,
swim.trace,lru,64,,,,
swim.trace,lru,96,,,,
swim.trace,lru,128,,,,
swim.trace,lru,192,,,,
swim.trace,lru,256,,,,
swim.trace,lru,384,,,,
swim.trace,lru,512,,,,
swim.trace,clock,2,,,,
swim.trace,clock,4,,,,
swim.trace,clock,6,,,,
swim.trace,clock,8,,,,
swim.trace,clock,12,,,,
swim.trace,clock,16,,,,
swim.trace,clock,24,,,,
swim.trace,clock,32,,,,
swim.trace,clock,48,,,,
swim.trace,clock,64,,,,
swim.trace,clock,96,,,,
swim.trace,clock,128,,,,
swim.trace,clock,192,,,,
swim.trace,clock,256,,,,
swim.trace,clock,384,,,,
swim.trace,clock,512,,,,
bzip.trace,rand,2,,,,
bzip.trace,rand,4,,,,
bzip.trace,rand,6,,,,
bzip.trace,rand,8,,,,
bzip.trace,rand,12,,,,
bzip.trace,rand,16,,,,
bzip.trace,rand,24,,,,
bzip.trace,rand,32,,,,
bzip.trace,rand,48,,,,
bzip.trace,rand,64,,,,
bzip.trace,rand,96,,,,
bzip.trace,rand,128,,,,
bzip.trace,rand,192,,,,
bzip.trace,rand,256,,,,
bzip.trace,rand,384,,,,
bzip.trace,rand,512,,,,
bzip.trace,lru,2,,,,
bzip.trace,lru,4,,,,
bzip.trace,lru,6,,,,
bzip.trace,lru,8,,,,
bzip.trace,lru,12,,,,
bzip.trace,lru,16,,,,
bzip.trace,lru,24,,,,
bzip.trace,lru,32,,,,
bzip.trace,lru,48,,,,
bzip.trace,lru,64,,,,
bzip.trace,lru,96,,,,
bzip.trace,lru,128,,,,
bzip.trace,lru,192,,,,
bzip.trace,lru,256,,,,
bzip.trace,lru,384,,,,
bzip.trace,lru,512,,,,
bzip.trace,clock,2,,,,
bzip.trace,clock,4,,,,
bzip.trace,clock,6,,,,
bzip.trace,clock,8,,,,
bzip.trace,clock,12,,,,
bzip.trace,clock,16,,,,
bzip.trace,clock,24,,,,
bzip.trace,clock,32,,,,
bzip.trace,clock,48,,,,
bzip.trace,clock,64,,,,
bzip.trace,clock,96,,,,
bzip.trace,clock,128,,,,
bzip.trace,clock,192,,,,
bzip.trace,clock,256,,,,
bzip.trace,clock,384,,,,
bzip.trace,clock,512,,,,
gcc.trace,rand,2,,,,
gcc.trace,rand,4,,,,
gcc.trace,rand,6,,,,
gcc.trace,rand,8,,,,
gcc.trace,rand,12,,,,
gcc.trace,rand,16,,,,
gcc.trace,rand,24,,,,
gcc.trace,rand,32,,,,
gcc.trace,rand,48,,,,
gcc.trace,rand,64,,,,
gcc.trace,rand,96,,,,
gcc.trace,rand,128,,,,
gcc.trace,rand,192,,,,
gcc.trace,rand,256,,,,
gcc.trace,rand,384,,,,
gcc.trace,rand,512,,,,
gcc.trace,lru,2,,,,
gcc.trace,lru,4,,,,
gcc.trace,lru,6,,,,
gcc.trace,lru,8,,,,
gcc.trace,lru,12,,,,
gcc.trace,lru,16,,,,
gcc.trace,lru,24,,,,
gcc.trace,lru,32,,,,
gcc.trace,lru,48,,,,
gcc.trace,lru,64,,,,
gcc.trace,lru,96,,,,
gcc.trace,lru,128,,,,
gcc.trace,lru,192,,,,
gcc.trace,lru,256,,,,
gcc.trace,lru,384,,,,
gcc.trace,lru,512,,,,
gcc.trace,clock,2,,,,
gcc.trace,clock,4,,,,
gcc.trace,clock,6,,,,
gcc.trace,clock,8,,,,
gcc.trace,clock,12,,,,
gcc.trace,clock,16,,,,
gcc.trace,clock,24,,,,
gcc.trace,clock,32,,,,
gcc.trace,clock,48,,,,
gcc.trace,clock,64,,,,
gcc.trace,clock,96,,,,
gcc.trace,clock,128,,,,
gcc.trace,clock,192,,,,
gcc.trace,clock,256,,,,
gcc.trace,clock,384,,,,
gcc.trace,clock,512,,,,
sixpack.trace,rand,2,,,,
sixpack.trace,rand,4,,,,
sixpack.trace,rand,6,,,,
sixpack.trace,rand,8,,,,
sixpack.trace,rand,12,,,,
sixpack.trace,rand,16,,,,
sixpack.trace,rand,24,,,,
sixpack.trace,rand,32,,,,
sixpack.trace,rand,48,,,,
sixpack.trace,rand,64,,,,
sixpack.trace,rand,96,,,,
sixpack.trace,rand,128,,,,
sixpack.trace,rand,192,,,,
sixpack.trace,rand,256,,,,
sixpack.trace,rand,384,,,,
sixpack.trace,rand,512,,,,
sixpack.trace,lru,2,,,,
sixpack.trace,lru,4,,,,
sixpack.trace,lru,6,,,,
sixpack.trace,lru,8,,,,
sixpack.trace,lru,12,,,,
sixpack.trace,lru,16,,,,
sixpack.trace,lru,24,,,,
sixpack.trace,lru,32,,,,
sixpack.trace,lru,48,,,,
sixpack.trace,lru,64,,,,
sixpack.trace,lru,96,,,,
sixpack.trace,lru,128,,,,
sixpack.trace,lru,192,,,,
sixpack.trace,lru,256,,,,
sixpack.trace,lru,384,,,,
sixpack.trace,lru,512,,,,
sixpack.trace,clock,2,,,,
sixpack.trace,clock,4,,,,
sixpack.trace,clock,6,,,,
sixpack.trace,clock,8,,,,
sixpack.trace,clock,12,,,,
sixpack.trace,clock,16,,,,
sixpack.trace,clock,24,,,,
sixpack.trace,clock,32,,,,
sixpack.trace,clock,48,,,,
sixpack.trace,clock,64,,,,
sixpack.trace,clock,96,,,,
sixpack.trace,clock,128,,,,
sixpack.trace,clock,192,,,,
sixpack.trace,clock,256,,,,
sixpack.trace,clock,384,,,,
sixpack.trace,clock,512,,,,
